4055.5,4062.5,4053,4061
4061.5,4061.5,4054,4054.5
4054.5,4056,4050,4050.5
4050.5,4052.5,4045.5,4047
4047.5,4051,4045.5,4051
4050.5,4053,4047.5,4048.5
4049,4050.5,4047.5,4049.5
4050,4050,4046.5,4047.5
4047.5,4048,4045.5,4045.5
4046,4046,4044.5,4045.5
4045,4048.5,4042,4043
4043,4045.5,4042,4045.5
4045,4046.5,4044,4046.5
4046.5,4048.5,4045.5,4048
4048,4048,4046,4046
4046.5,4054.5,4046,4054
4054,4057.5,4053.5,4056.5
4056,4059.5,4056,4059.5
4059.5,4064,4059,4062
4062,4064.5,4060,4062
4062,4062.5,4059,4060.5
4060,4062.5,4059.5,4060
4060,4061,4059,4060
4060,4060,4058,4058.5
4058,4060.5,4058,4059.5
4060,4064.5,4059.5,4061.5
4061,4063,4059.5,4061
4061,4065.5,4060.5,4064.5
4064.5,4068,4063.5,4067
4067.5,4068,4066,4068
4068,4071,4067.5,4070
4070,4071,4067,4067.5
4068,4068,4065,4066
4066,4069,4065,4067.5
4067,4068.5,4065,4065
4065.5,4067.5,4063.5,4067.5
4067.5,4068,4065,4065.5
4065.5,4068,4065,4067
4066.5,4067,4063.5,4063.5
4063.5,4067,4062,4067
4066.5,4067,4064,4064
4064,4064.5,4060,4061
4061.5,4064.5,4060.5,4064
4064.5,4067,4064,4065
4065,4066,4063,4063.5
4063.5,4067,4063.5,4067
4066.5,4068,4065.5,4065.5
4065.5,4065.5,4061,4061
4061,4061.5,4058,4058.5
4058.5,4059,4055.5,4056.5
4056,4056.5,4053,4053
4053,4054.5,4052.5,4054
4054,4055,4053,4053
4053,4058,4053,4055.5
4055.5,4056,4050.5,4052.5
4052.5,4052.5,4050,4050.5
4050.5,4053,4050.5,4052.5
4053,4055,4052.5,4052.5
4053,4056,4052.5,4055.5
4055.5,4055.5,4050.5,4051
4050.5,4051.5,4048.5,4051
4051.5,4051.5,4047,4048
4048.5,4049.5,4048,4049
4049,4051.5,4048.5,4051.5
4051,4052.5,4051,4052
4052,4055.5,4052,4055
4055,4056,4052,4053.5
4053,4055,4052,4052.5
4052.5,4054.5,4051.5,4053
4052.5,4056,4052.5,4056
4056,4058,4055,4057.5
4057.5,4058.5,4056.5,4058.5
4058.5,4060.5,4056.5,4060.5
4060.5,4062,4060,4061.5
4061,4062,4060.5,4061.5
4061.5,4063.5,4059,4059.5
4059,4060.5,4058,4060
4059.5,4060.5,4055.5,4055.5
4055.5,4057.5,4054,4054
4054,4055,4052,4053.5
4053,4055,4053,4055
4054.5,4057,4053.5,4056
4056,4057.5,4053,4054.5
4054.5,4055.5,4053.5,4055
4054.5,4055,4054,4055
4055,4055,4050,4051.5
4051.5,4051.5,4048.5,4049.5
4049.5,4051,4049,4051
4051,4052.5,4048.5,4050.5
4050.5,4054.5,4050.5,4053.5
4053.5,4055,4053,4054.5
4054.5,4058.5,4054,4058.5
4058,4059,4054,4055
4054.5,4055.5,4049,4049.5
4049,4049.5,4045.5,4046
4046,4047.5,4044.5,4044.5
4044.5,4046,4044,4045
4045,4048.5,4044.5,4048.5
4048.5,4049,4047.5,4048.5
4049,4049.5,4047.5,4048.5
